기관 명,송신 서버 번호,데이터 번호,모델명,시리얼,서버타입,사이트명,방문자수,날짜,등록일자,시장
서울시,32,1,SDOT001,2992,00Original,2992,74,2.02005E+11,2020-05-11 0:04,구로시장
서울시,32,1,SDOT001,2993,00Original,2993,67,2.02005E+11,2020-05-11 0:04,구로시장
서울시,32,1,SDOT001,2994,00Original,2994,185,2.02005E+11,2020-05-11 0:05,구로시장
서울시,32,1,SDOT001,2995,00Original,2995,58,2.02005E+11,2020-05-11 0:05,고척근린시장
서울시,32,1,SDOT001,2996,00Original,2996,63,2.02005E+11,2020-05-11 0:05,고척근린시장
서울시,32,1,SDOT001,2997,00Original,2997,114,2.02005E+11,2020-05-11 0:05,화곡중앙골목시장
서울시,32,1,SDOT001,2998,00Original,2998,127,2.02005E+11,2020-05-11 0:05,화곡중앙골목시장
서울시,32,1,SDOT001,2999,00Original,2999,34,2.02005E+11,2020-05-11 0:05,도곡시장
서울시,32,1,SDOT001,3000,00Original,3000,64,2.02005E+11,2020-05-11 0:05,영동전통시장
서울시,32,1,SDOT001,3001,00Original,3001,36,2.02005E+11,2020-05-11 0:05,개포2동 중심상가
서울시,32,1,SDOT001,3002,00Original,3002,74,2.02005E+11,2020-05-11 0:05,개포2동 중심상가
서울시,32,1,SDOT001,3003,00Original,3003,51,2.02005E+11,2020-05-11 0:05,제일종합시장
서울시,32,1,SDOT001,3004,00Original,3004,53,2.02005E+11,2020-05-11 0:05,제일종합시장
서울시,32,1,SDOT001,3005,00Original,3005,105,2.02005E+11,2020-05-11 0:05,상계중앙시장
서울시,32,1,SDOT001,3006,00Original,3006,92,2.02005E+11,2020-05-11 0:05,공릉동 도깨비시장
서울시,32,1,SDOT001,3007,00Original,3007,77,2.02005E+11,2020-05-11 0:05,공릉동 도깨비시장
서울시,32,1,SDOT001,3008,00Original,3008,109,2.02005E+11,2020-05-11 0:05,암사종합시장
서울시,32,1,SDOT001,3009,00Original,3009,52,2.02005E+11,2020-05-11 0:05,암사종합시장
서울시,32,1,SDOT001,3010,00Original,3010,79,2.02005E+11,2020-05-11 0:05,암사종합시장
서울시,32,1,SDOT001,3011,00Original,3011,156,2.02005E+11,2020-05-11 0:06,중곡제일골목시장
서울시,32,1,SDOT001,3012,00Original,3012,48,2.02005E+11,2020-05-11 0:06,자양종합시장
서울시,32,1,SDOT001,3013,00Original,3013,44,2.02005E+11,2020-05-11 0:06,성대골목시장
서울시,32,1,SDOT001,3014,00Original,3014,101,2.02005E+11,2020-05-11 0:06,성대골목시장
서울시,32,1,SDOT001,3015,00Original,3015,65,2.02005E+11,2020-05-11 0:06,성대골목시장
서울시,32,1,SDOT001,3016,00Original,3016,52,2.02005E+11,2020-05-11 0:06,남성시장
서울시,32,1,SDOT001,3017,00Original,3017,75,2.02005E+11,2020-05-11 0:06,남성시장
서울시,32,1,SDOT001,3018,00Original,3018,51,2.02005E+11,2020-05-11 0:06,수유재래시장
서울시,32,1,SDOT001,3019,00Original,3019,82,2.02005E+11,2020-05-11 0:06,수유재래시장
서울시,32,1,SDOT001,3020,00Original,3020,304,2.02005E+11,2020-05-11 0:06,수유재래시장
서울시,32,1,SDOT001,3021,00Original,3021,86,2.02005E+11,2020-05-11 0:06,창동신창시장
서울시,32,1,SDOT001,3022,00Original,3022,112,2.02005E+11,2020-05-11 0:06,창동신창시장
서울시,32,1,SDOT001,3023,00Original,3023,65,2.02005E+11,2020-05-11 0:06,창동신창시장
서울시,32,1,SDOT001,3028,00Original,3028,00000000-1,2.02005E+11,2020-05-11 0:07,망원시장
서울시,32,1,SDOT001,3029,00Original,3029,57,2.02005E+11,2020-05-11 0:07,영진시장
서울시,32,1,SDOT001,3030,00Original,3030,63,2.02005E+11,2020-05-11 0:07,망원시장
서울시,32,1,SDOT001,3031,00Original,3031,107,2.02005E+11,2020-05-11 0:07,신원시장
서울시,32,1,SDOT001,3032,00Original,3032,32,2.02005E+11,2020-05-11 0:07,신원시장
서울시,32,1,SDOT001,3033,00Original,3033,44,2.02005E+11,2020-05-11 0:07,새마을시장
서울시,32,1,SDOT001,3034,00Original,3034,371,2.02005E+11,2020-05-11 0:07,새마을시장
서울시,32,1,SDOT001,3036,00Original,3036,186,2.02005E+11,2020-05-11 0:07,신영시장
서울시,32,1,SDOT001,3037,00Original,3037,00000000-1,2.02005E+11,2020-05-11 0:07,신영시장
서울시,32,1,SDOT001,3038,00Original,3038,99,2.02005E+11,2020-05-11 0:07,신영시장
서울시,32,1,SDOT001,3039,00Original,3039,75,2.02005E+11,2020-05-11 0:07,목3동시장
서울시,32,1,SDOT001,3040,00Original,3040,51,2.02005E+11,2020-05-11 0:07,창동골목시장
서울시,32,1,SDOT001,3041,00Original,3041,78,2.02005E+11,2020-05-11 0:07,창동골목시장
서울시,32,1,SDOT001,2992,00Original,2992,80,2.02005E+11,2020-05-11 0:18,구로시장
서울시,32,1,SDOT001,2993,00Original,2993,70,2.02005E+11,2020-05-11 0:18,구로시장
서울시,32,1,SDOT001,2994,00Original,2994,114,2.02005E+11,2020-05-11 0:18,구로시장
서울시,32,1,SDOT001,2995,00Original,2995,58,2.02005E+11,2020-05-11 0:18,고척근린시장
서울시,32,1,SDOT001,2996,00Original,2996,62,2.02005E+11,2020-05-11 0:18,고척근린시장
서울시,32,1,SDOT001,2997,00Original,2997,76,2.02005E+11,2020-05-11 0:18,화곡중앙골목시장
서울시,32,1,SDOT001,2998,00Original,2998,93,2.02005E+11,2020-05-11 0:18,화곡중앙골목시장
서울시,32,1,SDOT001,2999,00Original,2999,28,2.02005E+11,2020-05-11 0:18,도곡시장
서울시,32,1,SDOT001,3000,00Original,3000,59,2.02005E+11,2020-05-11 0:18,영동전통시장
서울시,32,1,SDOT001,3001,00Original,3001,38,2.02005E+11,2020-05-11 0:18,개포2동 중심상가
서울시,32,1,SDOT001,3002,00Original,3002,75,2.02005E+11,2020-05-11 0:18,개포2동 중심상가
서울시,32,1,SDOT001,3003,00Original,3003,61,2.02005E+11,2020-05-11 0:18,제일종합시장
서울시,32,1,SDOT001,3004,00Original,3004,53,2.02005E+11,2020-05-11 0:19,제일종합시장
서울시,32,1,SDOT001,3005,00Original,3005,100,2.02005E+11,2020-05-11 0:19,상계중앙시장
서울시,32,1,SDOT001,3006,00Original,3006,74,2.02005E+11,2020-05-11 0:19,공릉동 도깨비시장
서울시,32,1,SDOT001,3007,00Original,3007,69,2.02005E+11,2020-05-11 0:19,공릉동 도깨비시장
서울시,32,1,SDOT001,3008,00Original,3008,134,2.02005E+11,2020-05-11 0:19,암사종합시장
서울시,32,1,SDOT001,3009,00Original,3009,60,2.02005E+11,2020-05-11 0:19,암사종합시장
서울시,32,1,SDOT001,3010,00Original,3010,75,2.02005E+11,2020-05-11 0:19,암사종합시장
서울시,32,1,SDOT001,3011,00Original,3011,144,2.02005E+11,2020-05-11 0:19,중곡제일골목시장
서울시,32,1,SDOT001,3012,00Original,3012,59,2.02005E+11,2020-05-11 0:19,자양종합시장
서울시,32,1,SDOT001,3013,00Original,3013,57,2.02005E+11,2020-05-11 0:19,성대골목시장
서울시,32,1,SDOT001,3014,00Original,3014,77,2.02005E+11,2020-05-11 0:19,성대골목시장
서울시,32,1,SDOT001,3015,00Original,3015,55,2.02005E+11,2020-05-11 0:19,성대골목시장
서울시,32,1,SDOT001,3016,00Original,3016,58,2.02005E+11,2020-05-11 0:19,남성시장
서울시,32,1,SDOT001,3017,00Original,3017,79,2.02005E+11,2020-05-11 0:19,남성시장
서울시,32,1,SDOT001,3018,00Original,3018,55,2.02005E+11,2020-05-11 0:19,수유재래시장
서울시,32,1,SDOT001,3019,00Original,3019,81,2.02005E+11,2020-05-11 0:20,수유재래시장
서울시,32,1,SDOT001,3020,00Original,3020,241,2.02005E+11,2020-05-11 0:20,수유재래시장
서울시,32,1,SDOT001,3021,00Original,3021,88,2.02005E+11,2020-05-11 0:20,창동신창시장
서울시,32,1,SDOT001,3022,00Original,3022,97,2.02005E+11,2020-05-11 0:20,창동신창시장
서울시,32,1,SDOT001,3023,00Original,3023,68,2.02005E+11,2020-05-11 0:20,창동신창시장
서울시,32,1,SDOT001,3028,00Original,3028,00000000-1,2.02005E+11,2020-05-11 0:20,망원시장
서울시,32,1,SDOT001,3029,00Original,3029,87,2.02005E+11,2020-05-11 0:20,영진시장
서울시,32,1,SDOT001,3030,00Original,3030,64,2.02005E+11,2020-05-11 0:20,망원시장
서울시,32,1,SDOT001,3031,00Original,3031,86,2.02005E+11,2020-05-11 0:20,신원시장
서울시,32,1,SDOT001,3032,00Original,3032,44,2.02005E+11,2020-05-11 0:20,신원시장
서울시,32,1,SDOT001,3033,00Original,3033,61,2.02005E+11,2020-05-11 0:20,새마을시장
서울시,32,1,SDOT001,3034,00Original,3034,324,2.02005E+11,2020-05-11 0:20,새마을시장
서울시,32,1,SDOT001,3036,00Original,3036,151,2.02005E+11,2020-05-11 0:21,신영시장
서울시,32,1,SDOT001,3037,00Original,3037,00000000-1,2.02005E+11,2020-05-11 0:21,신영시장
서울시,32,1,SDOT001,3038,00Original,3038,74,2.02005E+11,2020-05-11 0:21,신영시장
서울시,32,1,SDOT001,3039,00Original,3039,79,2.02005E+11,2020-05-11 0:21,목3동시장
서울시,32,1,SDOT001,3040,00Original,3040,54,2.02005E+11,2020-05-11 0:21,창동골목시장
서울시,32,1,SDOT001,3041,00Original,3041,80,2.02005E+11,2020-05-11 0:21,창동골목시장
서울시,32,1,SDOT001,2992,00Original,2992,83,2.02005E+11,2020-05-11 0:31,구로시장
서울시,32,1,SDOT001,2993,00Original,2993,62,2.02005E+11,2020-05-11 0:31,구로시장
서울시,32,1,SDOT001,2994,00Original,2994,101,2.02005E+11,2020-05-11 0:31,구로시장
서울시,32,1,SDOT001,2995,00Original,2995,54,2.02005E+11,2020-05-11 0:31,고척근린시장
서울시,32,1,SDOT001,2996,00Original,2996,53,2.02005E+11,2020-05-11 0:31,고척근린시장
서울시,32,1,SDOT001,2997,00Original,2997,54,2.02005E+11,2020-05-11 0:31,화곡중앙골목시장
서울시,32,1,SDOT001,2998,00Original,2998,104,2.02005E+11,2020-05-11 0:31,화곡중앙골목시장
서울시,32,1,SDOT001,2999,00Original,2999,22,2.02005E+11,2020-05-11 0:31,도곡시장
서울시,32,1,SDOT001,3000,00Original,3000,66,2.02005E+11,2020-05-11 0:31,영동전통시장
서울시,32,1,SDOT001,3001,00Original,3001,40,2.02005E+11,2020-05-11 0:31,개포2동 중심상가
서울시,32,1,SDOT001,3002,00Original,3002,54,2.02005E+11,2020-05-11 0:32,개포2동 중심상가
서울시,32,1,SDOT001,3003,00Original,3003,45,2.02005E+11,2020-05-11 0:32,제일종합시장
서울시,32,1,SDOT001,3004,00Original,3004,62,2.02005E+11,2020-05-11 0:32,제일종합시장
서울시,32,1,SDOT001,3005,00Original,3005,82,2.02005E+11,2020-05-11 0:32,상계중앙시장
서울시,32,1,SDOT001,3006,00Original,3006,76,2.02005E+11,2020-05-11 0:32,공릉동 도깨비시장
서울시,32,1,SDOT001,3007,00Original,3007,64,2.02005E+11,2020-05-11 0:32,공릉동 도깨비시장
서울시,32,1,SDOT001,3008,00Original,3008,99,2.02005E+11,2020-05-11 0:32,암사종합시장
서울시,32,1,SDOT001,3009,00Original,3009,100,2.02005E+11,2020-05-11 0:32,암사종합시장
서울시,32,1,SDOT001,3010,00Original,3010,62,2.02005E+11,2020-05-11 0:32,암사종합시장
서울시,32,1,SDOT001,3011,00Original,3011,90,2.02005E+11,2020-05-11 0:32,중곡제일골목시장
서울시,32,1,SDOT001,3012,00Original,3012,39,2.02005E+11,2020-05-11 0:32,자양종합시장
서울시,32,1,SDOT001,3013,00Original,3013,51,2.02005E+11,2020-05-11 0:32,성대골목시장
서울시,32,1,SDOT001,3014,00Original,3014,82,2.02005E+11,2020-05-11 0:32,성대골목시장
서울시,32,1,SDOT001,3015,00Original,3015,54,2.02005E+11,2020-05-11 0:32,성대골목시장
서울시,32,1,SDOT001,3016,00Original,3016,41,2.02005E+11,2020-05-11 0:32,남성시장
서울시,32,1,SDOT001,3017,00Original,3017,69,2.02005E+11,2020-05-11 0:32,남성시장
서울시,32,1,SDOT001,3018,00Original,3018,56,2.02005E+11,2020-05-11 0:32,수유재래시장
서울시,32,1,SDOT001,3019,00Original,3019,68,2.02005E+11,2020-05-11 0:33,수유재래시장
서울시,32,1,SDOT001,3020,00Original,3020,230,2.02005E+11,2020-05-11 0:33,수유재래시장
서울시,32,1,SDOT001,3021,00Original,3021,64,2.02005E+11,2020-05-11 0:33,창동신창시장
서울시,32,1,SDOT001,3022,00Original,3022,78,2.02005E+11,2020-05-11 0:33,창동신창시장
서울시,32,1,SDOT001,3023,00Original,3023,70,2.02005E+11,2020-05-11 0:33,창동신창시장
서울시,32,1,SDOT001,3028,00Original,3028,00000000-1,2.02005E+11,2020-05-11 0:33,망원시장
서울시,32,1,SDOT001,3029,00Original,3029,54,2.02005E+11,2020-05-11 0:33,영진시장
서울시,32,1,SDOT001,3030,00Original,3030,71,2.02005E+11,2020-05-11 0:33,망원시장
서울시,32,1,SDOT001,3031,00Original,3031,94,2.02005E+11,2020-05-11 0:33,신원시장
서울시,32,1,SDOT001,3032,00Original,3032,34,2.02005E+11,2020-05-11 0:33,신원시장
서울시,32,1,SDOT001,3033,00Original,3033,55,2.02005E+11,2020-05-11 0:33,새마을시장
서울시,32,1,SDOT001,3034,00Original,3034,325,2.02005E+11,2020-05-11 0:33,새마을시장
서울시,32,1,SDOT001,3036,00Original,3036,179,2.02005E+11,2020-05-11 0:34,신영시장
서울시,32,1,SDOT001,3037,00Original,3037,00000000-1,2.02005E+11,2020-05-11 0:34,신영시장
서울시,32,1,SDOT001,3038,00Original,3038,79,2.02005E+11,2020-05-11 0:34,신영시장
서울시,32,1,SDOT001,3039,00Original,3039,56,2.02005E+11,2020-05-11 0:34,목3동시장
서울시,32,1,SDOT001,3040,00Original,3040,45,2.02005E+11,2020-05-11 0:34,창동골목시장
서울시,32,1,SDOT001,3041,00Original,3041,63,2.02005E+11,2020-05-11 0:34,창동골목시장
서울시,32,1,SDOT001,2992,00Original,2992,66,2.02005E+11,2020-05-11 0:44,구로시장
서울시,32,1,SDOT001,2993,00Original,2993,64,2.02005E+11,2020-05-11 0:44,구로시장
서울시,32,1,SDOT001,2994,00Original,2994,108,2.02005E+11,2020-05-11 0:44,구로시장
서울시,32,1,SDOT001,2995,00Original,2995,52,2.02005E+11,2020-05-11 0:44,고척근린시장
서울시,32,1,SDOT001,2996,00Original,2996,54,2.02005E+11,2020-05-11 0:44,고척근린시장
서울시,32,1,SDOT001,2997,00Original,2997,58,2.02005E+11,2020-05-11 0:44,화곡중앙골목시장
서울시,32,1,SDOT001,2998,00Original,2998,107,2.02005E+11,2020-05-11 0:44,화곡중앙골목시장
