기관 명,송신 서버 번호,데이터 번호,모델명,시리얼,서버타입,사이트명,방문자수,날짜,등록일자,시장
서울시,32,1,SDOT001,2992,00Original,2992,84,2.02005E+11,2020-05-25 0:01,구로시장
서울시,32,1,SDOT001,2993,00Original,2993,78,2.02005E+11,2020-05-25 0:01,구로시장
서울시,32,1,SDOT001,2994,00Original,2994,122,2.02005E+11,2020-05-25 0:01,구로시장
서울시,32,1,SDOT001,2995,00Original,2995,88,2.02005E+11,2020-05-25 0:01,고척근린시장
서울시,32,1,SDOT001,2996,00Original,2996,90,2.02005E+11,2020-05-25 0:01,고척근린시장
서울시,32,1,SDOT001,2997,00Original,2997,68,2.02005E+11,2020-05-25 0:01,화곡중앙골목시장
서울시,32,1,SDOT001,2998,00Original,2998,102,2.02005E+11,2020-05-25 0:01,화곡중앙골목시장
서울시,32,1,SDOT001,2999,00Original,2999,45,2.02005E+11,2020-05-25 0:01,도곡시장
서울시,32,1,SDOT001,3000,00Original,3000,71,2.02005E+11,2020-05-25 0:01,영동전통시장
서울시,32,1,SDOT001,3001,00Original,3001,42,2.02005E+11,2020-05-25 0:01,개포2동 중심상가
서울시,32,1,SDOT001,3002,00Original,3002,58,2.02005E+11,2020-05-25 0:01,개포2동 중심상가
서울시,32,1,SDOT001,3003,00Original,3003,83,2.02005E+11,2020-05-25 0:02,제일종합시장
서울시,32,1,SDOT001,3004,00Original,3004,67,2.02005E+11,2020-05-25 0:02,제일종합시장
서울시,32,1,SDOT001,3005,00Original,3005,95,2.02005E+11,2020-05-25 0:02,상계중앙시장
서울시,32,1,SDOT001,3006,00Original,3006,103,2.02005E+11,2020-05-25 0:02,공릉동 도깨비시장
서울시,32,1,SDOT001,3007,00Original,3007,59,2.02005E+11,2020-05-25 0:02,공릉동 도깨비시장
서울시,32,1,SDOT001,3008,00Original,3008,138,2.02005E+11,2020-05-25 0:02,암사종합시장
서울시,32,1,SDOT001,3009,00Original,3009,74,2.02005E+11,2020-05-25 0:02,암사종합시장
서울시,32,1,SDOT001,3010,00Original,3010,63,2.02005E+11,2020-05-25 0:02,암사종합시장
서울시,32,1,SDOT001,3011,00Original,3011,125,2.02005E+11,2020-05-25 0:02,중곡제일골목시장
서울시,32,1,SDOT001,3012,00Original,3012,49,2.02005E+11,2020-05-25 0:02,자양종합시장
서울시,32,1,SDOT001,3013,00Original,3013,55,2.02005E+11,2020-05-25 0:02,성대골목시장
서울시,32,1,SDOT001,3014,00Original,3014,105,2.02005E+11,2020-05-25 0:02,성대골목시장
서울시,32,1,SDOT001,3015,00Original,3015,66,2.02005E+11,2020-05-25 0:02,성대골목시장
서울시,32,1,SDOT001,3016,00Original,3016,60,2.02005E+11,2020-05-25 0:02,남성시장
서울시,32,1,SDOT001,3017,00Original,3017,00000000-1,2.02005E+11,2020-05-25 0:03,남성시장
서울시,32,1,SDOT001,3018,00Original,3018,54,2.02005E+11,2020-05-25 0:03,수유재래시장
서울시,32,1,SDOT001,3019,00Original,3019,94,2.02005E+11,2020-05-25 0:03,수유재래시장
서울시,32,1,SDOT001,3020,00Original,3020,335,2.02005E+11,2020-05-25 0:03,수유재래시장
서울시,32,1,SDOT001,3021,00Original,3021,66,2.02005E+11,2020-05-25 0:03,창동신창시장
서울시,32,1,SDOT001,3022,00Original,3022,100,2.02005E+11,2020-05-25 0:03,창동신창시장
서울시,32,1,SDOT001,3023,00Original,3023,90,2.02005E+11,2020-05-25 0:03,창동신창시장
서울시,32,1,SDOT001,3024,00Original,3024,112,2.02005E+11,2020-05-25 0:03,#N/A
서울시,32,1,SDOT001,3025,00Original,3025,94,2.02005E+11,2020-05-25 0:03,#N/A
서울시,32,1,SDOT001,3026,00Original,3026,63,2.02005E+11,2020-05-25 0:03,#N/A
서울시,32,1,SDOT001,3027,00Original,3027,98,2.02005E+11,2020-05-25 0:03,#N/A
서울시,32,1,SDOT001,3028,00Original,3028,00000000-1,2.02005E+11,2020-05-25 0:03,망원시장
서울시,32,1,SDOT001,3029,00Original,3029,49,2.02005E+11,2020-05-25 0:03,영진시장
